,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,svdpp,xgb_final,xgb_all_models
mape,32.39455579622175,35.04995544572911,33.079472549222075,35.02094499698424,35.02269653015042,34.489298161444175,35.02432824055949,35.031724209598536,34.5942018016251,35.03078038023029
predictions,[3.1947422 3.1947422 3.1947422 ... 3.1947422 3.1947422 3.1947422],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.2973483 3.2973483 3.2973483 ... 3.2973483 3.2973483 3.2973483],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.5046299 3.5046299 3.5046299 ... 3.5046299 3.5046299 3.5046299],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.5199478 3.5199478 3.5199478 ... 3.5199478 3.5199478 3.5199478],[3.5622258 3.5622258 3.5622258 ... 3.5622258 3.5622258 3.5622258]
rmse,1.1420363955126032,1.0730330260516174,1.1119295433572443,1.0726493739667242,1.072758832653683,1.0762480592395607,1.0726749805861056,1.0727858108711588,1.0753924408640876,1.0754444873705753
